Student_ID,Lab,Midterm,Final
71,84,71,83
72,70,35,35
73,69,23,23
74,0,26,0
75,0,0,0
76,71,70,73
77,79,92,74
78,0,69,5
79,0,0,0
80,60,39,50
81,27,31,32
82,0,0,0
83,0,37,0
84,0,46,38
85,83,68,61
86,65,26,57
87,23,54,35
88,80,53,77
89,0,0,0
90,50,17,18
91,78,65,68
92,70,46,73
93,0,17,0
94,69,75,63
95,83,72,83
96,63,47,50
97,15,50,18
98,0,0,0
99,50,17,30
100,0,35,0
101,0,27,0
102,86,69,77
103,49,49,18
104,67,36,26
105,86,71,58
106,0,22,0
107,46,59,18
108,60,46,77
109,0,0,0
110,0,0,0
111,70,60,58
112,70,61,90
113,0,0,0
114,90,75,70
115,90,78,76
116,100,89,88
117,55,45,72
118,0,0,0
119,49,23,70
120,60,51,65
121,85,70,82
122,58,42,50
123,24,65,65
124,78,75,50
125,78,84,92
126,66,45,50
127,0,0,0
128,81,67,79
129,68,60,35
130,0,28,60
131,0,16,0
132,40,14,28
133,65,42,28
134,0,0,0
135,79,63,76
136,83,68,95
137,60,33,55
138,55,85,85
139,0,0,0
140,15,48,35
141,100,100,66
142,82,38,50
143,55,60,60
144,0,0,0
145,12,50,20
146,5,53,0
147,70,48,36
148,65,30,55
149,49,23,40
150,0,33,0
151,60,15,50
152,11,23,25
153,60,80,76
154,66,45,66
155,50,13,55
156,60,53,40
157,40,38,0
158,68,53,85
159,60,53,40
160,44,63,70
161,68,58,78
162,77,50,75
163,56,65,75
164,85,75,76
165,52,45,28
166,52,30,17
167,68,90,48
168,3,0,0
169,51,65,40
170,55,60,46
171,0,0,2
172,0,0,0
173,55,33,63
174,61,45,81
175,40,15,28
176,54,25,31
177,46,80,57
178,26,35,40
179,80,60,66
180,40,33,40
181,75,80,77
182,64,40,40
183,29,53,0
184,70,58,28
185,8,33,0
186,73,73,85
187,82,80,95
188,59,55,47
189,0,15,0
190,15,35,0
191,78,60,80
192,0,0,0
193,60,43,75
194,43,67,30
195,75,58,80
196,48,45,75
197,91,90,94
198,0,30,0
199,40,70,75
200,84,50,72
201,55,30,60
202,48,50,65
203,53,50,50
204,69,73,80
205,68,67,85
206,51,37,50
207,43,52,60
208,86,92,40
209,58,35,25
210,70,78,70
211,58,57,70
212,100,77,80
213,53,55,61
214,74,62,60
215,30,10,0
216,85,100,95
217,50,37,51
218,58,42,55
219,64,85,100
